,Date,Value
561,2012-10-10,4877.5
562,2012-10-11,4777.5
563,2012-10-12,4636.5
564,2012-10-13,3140.0
565,2012-10-14,2950.0
566,2012-10-15,4711.0
567,2012-10-16,4894.5
568,2012-10-17,4589.0
569,2012-10-18,4354.5
570,2012-10-19,4304.0
571,2012-10-20,2745.5
572,2012-10-21,2639.0
573,2012-10-22,4335.0
574,2012-10-23,4442.5
575,2012-10-24,4417.5
576,2012-10-25,4370.5
577,2012-10-26,4240.5
578,2012-10-27,2549.5
579,2012-10-28,2199.0
580,2012-10-29,2486.5
581,2012-10-30,4184.5
582,2012-10-31,4369.0
583,2012-11-01,4432.0
584,2012-11-02,4437.0
585,2012-11-03,2722.5
586,2012-11-04,2451.5
587,2012-11-05,4403.0
588,2012-11-06,4491.0
589,2012-11-07,4468.0
590,2012-11-08,4481.5
591,2012-11-09,4361.5
592,2012-11-10,2636.5
593,2012-11-11,2432.0
594,2012-11-12,4340.5
595,2012-11-13,4498.5
596,2012-11-14,4506.0
597,2012-11-15,4459.5
598,2012-11-16,4407.0
599,2012-11-17,2562.5
600,2012-11-18,2469.0
601,2012-11-19,4304.5
602,2012-11-20,4430.5
603,2012-11-21,4449.5
604,2012-11-22,4484.0
605,2012-11-23,4335.0
606,2012-11-24,2695.0
607,2012-11-25,2451.0
608,2012-11-26,4500.0
609,2012-11-27,4581.0
610,2012-11-28,4679.0
611,2012-11-29,4696.0
612,2012-11-30,4632.5
613,2012-12-01,2873.0
614,2012-12-02,2643.0
615,2012-12-03,4475.0
616,2012-12-04,4771.0
617,2012-12-05,4965.0
618,2012-12-06,4987.5
619,2012-12-07,4809.0
620,2012-12-08,3042.5
621,2012-12-09,2769.0
622,2012-12-10,4774.5
623,2012-12-11,4660.5
624,2012-12-12,4576.0
625,2012-12-13,4589.0
626,2012-12-14,4491.5
627,2012-12-15,2774.5
628,2012-12-16,2630.5
629,2012-12-17,4564.0
630,2012-12-18,4640.0
631,2012-12-19,4540.5
632,2012-12-20,4547.5
633,2012-12-21,4399.0
634,2012-12-22,2658.5
635,2012-12-23,2572.5
636,2012-12-24,3622.5
637,2012-12-25,2584.5
638,2012-12-26,2599.5
639,2012-12-27,2650.0
640,2012-12-28,2576.0
641,2012-12-29,2460.0
642,2012-12-30,2330.5
643,2012-12-31,2560.5
644,2013-01-01,2803.0
645,2013-01-02,4152.0
646,2013-01-03,4252.0
647,2013-01-04,4177.5
648,2013-01-05,2566.5
649,2013-01-06,2512.0
650,2013-01-07,4333.5
651,2013-01-08,4477.5
652,2013-01-09,4644.5
653,2013-01-10,4646.5
654,2013-01-11,4487.5
655,2013-01-12,2741.5
656,2013-01-13,2637.0
657,2013-01-14,4518.0
658,2013-01-15,4579.5
659,2013-01-16,4589.0
660,2013-01-17,4537.0
661,2013-01-18,4526.0
662,2013-01-19,2771.0
663,2013-01-20,2510.0
664,2013-01-21,4639.0
665,2013-01-22,4731.0
666,2013-01-23,4709.5
667,2013-01-24,4638.5
668,2013-01-25,4454.0
669,2013-01-26,2869.5
670,2013-01-27,2503.5
671,2013-01-28,4448.5
672,2013-01-29,4329.5
673,2013-01-30,4482.0
674,2013-01-31,4518.0
675,2013-02-01,4483.0
676,2013-02-02,2840.5
677,2013-02-03,2502.0
678,2013-02-04,4515.0
679,2013-02-05,4711.5
680,2013-02-06,4658.5
681,2013-02-07,4759.5
682,2013-02-08,4450.0
683,2013-02-09,2524.5
684,2013-02-10,2383.5
685,2013-02-11,4481.5
686,2013-02-12,4543.0
687,2013-02-13,4390.0
688,2013-02-14,4385.0
689,2013-02-15,4289.5
690,2013-02-16,2564.0
691,2013-02-17,2383.0
692,2013-02-18,4321.0
693,2013-02-19,4444.0
694,2013-02-20,4452.0
